0.480320 (0.047355) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.455629 (0.066125) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.409314 (0.059702) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.423740 (0.083927) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.475356 (0.064240) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.469784 (0.047105) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.427026 (0.069575) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.451480 (0.060434) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.461417 (0.057149) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.429327 (0.078497) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
